,coast_dist
0,201.5116930751245
1,361.4445320791765
2,366.1371961949479
3,379.2709991648179
4,203.23851876148774
5,210.531129415722
6,360.6166053439731
7,7.702509254195366
8,9.70351882478201
9,7.556388438285157
10,78.66454436790762
11,203.23851876148774
12,203.23851876148774
13,208.4510551140099
14,197.34101515744547
15,203.23851876148774
16,184.14235735768565
17,361.58747707397777
18,51.22698136500054
19,358.45179490712246
20,5.923254273128334
21,362.60964000421194
22,351.9531435466277
23,203.23851876148774
24,362.8335891548945
25,98.16366620828548
26,5.172315601540083
27,184.23795506263974
28,123.8593660271855
29,89.17469371502712
30,400.49242483005
31,203.23851876148774
32,78.05703022915466
33,203.23851876148774
34,137.61852578949083
35,10.567307900609688
36,388.84616895180847
37,355.7238413725799
38,201.7971238099329
39,206.99045822098108
40,406.2383798176194
41,9.990384552687287
42,354.3310006243383
43,208.43810305961324
44,343.87207131894155
45,203.23851876148774
46,371.0802020508938
47,158.0932240187138
48,203.23851876148774
49,365.9116105025497
50,81.6629260343982
51,346.45652071241324
52,171.4552189709887
53,375.35247219524786
54,179.91983572305801
55,8.45695956843844
56,350.09276834728547
57,74.30003181732341
58,202.55178600888382
59,488.8950782423785
60,202.46170094042097
61,73.86370896288814
62,371.7997802470437
63,381.2283885040975
64,211.24148012333637
65,211.42017834555583
66,216.29287645967253
67,203.23851876148774
68,221.3810190405552
69,73.86370896288814
70,73.19143252039147
71,74.20215119198966
72,77.86825704844757
73,382.65446993582674
74,203.23851876148774
75,79.63196201490076
76,203.23851876148774
77,203.23851876148774
78,358.4168555525925
79,73.48064500625053
80,360.52776029525063
81,379.8098093826286
82,2.1226275194841047
83,357.56971512871934
84,77.6448778464163
85,183.84812028890417
86,365.93145488592387
87,172.57511813673952
88,5.179304269842989
89,7.96464584540619
90,183.24072289560647
91,73.2511476106687
92,177.64786815438435
93,6.844795563185597
94,86.36070892714217
95,203.7223589666469
96,203.23851876148774
97,123.89607466894168
98,210.65930730570804
99,3.300197264528101
100,72.90713290927445
101,75.48635907210199
102,367.29577355288575
103,209.08862916375472
104,71.47127741715735
